Eatery ID,Name,Address,Latitude,Longitude,Category,Price Range,Postal Code,Hygiene Rating,Outdoor Seating,Family Friendly,Self Service
54,BNC-Bliss Nest Capsules,"1 HarbourFront Walk, #01-91 VivoCity",1.2635828,103.8224785,"cafe, restaurant, food, point_of_interest, establishment",2,098585,C,No,No,No
55,Project Açaí (VivoCity),"1 HarbourFront Walk, #01-92 VivoCity",1.2636046,103.8224805,"cafe, food, point_of_interest, establishment",2,098585,C,Yes,Yes,Yes
56,CHAGEE VivoCity,"1 HarbourFront Walk, #01-98 VivoCity",1.2636039,103.8230384,"cafe, food, point_of_interest, store, establishment",1,098585,B,Yes,No,Yes
57,M&S Cafe,"1 HarbourFront Walk, Singapore",1.2639532,103.8230042,"cafe, food, point_of_interest, establishment",4,098585,C,No,Yes,No
58,Surrey Hills Grocer - VivoCity (Pet Friendly),"1 HarbourFront Walk, #03-02 VivoCity",1.2640489,103.8233549,"cafe, grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",2,098585,C,No,No,No
59,"dipndip, VivoCity","HarbourFront Walk, #01-51 VivoCity Mall, 1",1.2643589,103.8223196,"cafe, food, point_of_interest, establishment",2,098585,A,No,No,No
60,Krispy Kreme,"1 HarbourFront Walk, B2-K26 VivoCity",1.2642944,103.8227011,"bakery, cafe, store, food, point_of_interest, establishment",4,098585,B,No,No,No
61,luckin coffee - VivoCity,"1 HarbourFront Walk, #02-119 Vivocity",1.2644032,103.8222071,"cafe, store, food, point_of_interest, establishment",1,098585,B,Yes,No,No
62,Henri Charpentier (Vivocity),"1 HarbourFront Walk, #02-K4 VivoCity, Singapore",1.2646749,103.8219236,"cafe, bakery, store, food, point_of_interest, establishment",3,098585,A,Yes,No,No
63,HELIOS93,"#01-01 11 Cove Drive, Sentosa Cove",1.2455941,103.8398077,"cafe, food, point_of_interest, establishment",1,098497,A,Yes,Yes,Yes
64,The Naughty Chef | Best Coffee & Sandwiches in Sentosa,"31 Ocean Way, #01-23A Quayside Isle",1.2479283,103.8417309,"cafe, point_of_interest, food, store, establishment",3,098375,C,Yes,No,Yes
65,Common Man Coffee Roasters - Quayside Isle,"31 Ocean Way, #01-09",1.2471056,103.8422382,"cafe, bar, restaurant, point_of_interest, food, store, establishment",3,098375,B,Yes,No,No
66,Ya Kun Kaya Toast,"1 HarbourFront Walk, B2-K28",1.2647139,103.8231658,"cafe, point_of_interest, food, establishment",1,098585,A,No,Yes,No
67,Ah Mah Homemade Cake Vivo City,"1 HarbourFront Walk, B2-K8",1.2647139,103.8231658,"cafe, food, point_of_interest, establishment",2,098585,C,No,No,No
68,Tiong Hoe Specialty Coffee (VivoCity),"1 Harbourfront Walk, Vivo City Fairprice Xtra, Unit, #B2-23",1.2647884,103.822894,"cafe, store, food, point_of_interest, establishment",2,098585,B,Yes,Yes,Yes
69,Scrambled Egg Rice Danlao,"1 HarbourFront Walk, B2-39 VivoCity, Singapore",1.2649665,103.8232416,"cafe, store, food, point_of_interest, establishment",3,098585,B,No,No,No
70,Jing Chicken Pot 菁鸡公煲,"1 HarbourFront Walk, #03 - 01 VivoCity, Singapore",1.2647178,103.8224412,"cafe, store, food, point_of_interest, establishment",4,098585,C,Yes,Yes,No
71,恭和堂 @ Vivocity,VivoCity,1.2648859,103.8221267,"cafe, store, food, point_of_interest, establishment",4,098585,B,Yes,Yes,No
72,Belle-Ville Pancake & Coffee by Takagi Coffee Vivocity,"1 HarbourFront Walk, #01-188A in front of Tangs department store",1.2649975,103.8218979,"cafe, store, restaurant, food, point_of_interest, establishment",2,098585,A,Yes,No,Yes
73,The Coffee Bean and Tea Leaf - VivoCity,"1 HarbourFront Walk, #02-04 Vivo City, Singapore",1.2649919,103.8218388,"cafe, store, food, point_of_interest, establishment",2,Unknown,C,Yes,Yes,Yes
74,Tiong Bahru Bakery,"1 HarbourFront Walk, #01-188B Vivocity",1.2648069,103.8213714,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",2,098585,C,No,No,No
75,Tim Hortons VivoCity,"1 HarbourFront Walk, #01-207 VivoCity",1.2650509,103.821637,"cafe, food, point_of_interest, establishment",2,098585,C,No,No,No
76,The Providore - VivoCity,"1 HarbourFront Walk, #01-188",1.2649477,103.8211444,"cafe, bakery, bar, store, restaurant, food, point_of_interest, establishment",4,098585,B,Yes,Yes,Yes
77,Tuas Pot,Tuas South Link 1,1.2698194,103.6275335,"cafe, store, food, point_of_interest, establishment",1,636905,A,Yes,Yes,Yes
78,QI KOPI PTE LTD,"NO 636947, 12 Tuas South Street 13",1.2719734,103.6334634,"cafe, food, point_of_interest, establishment",2,636946,C,No,No,Yes
79,Famous Nasi lemak,6 Tuas South Street 15,1.2725479,103.6374262,"cafe, store, food, point_of_interest, establishment",1,636906,B,No,No,No
80,Cedele Bakery Cafe - Mapletree Business City,"20 Pasir Panjang Road, #02-12 Mapletree Business City II",1.2745422,103.8001694,"bakery, cafe, store, restaurant, food, point_of_interest, establishment",2,117438,A,Yes,Yes,No
81,Heavenly Wang @ Alexandra Retail Centre,"460 Alexandra Road, #02-35 Alexandra Retail Centre (ARC)",1.2734013,103.8016348,"cafe, food, point_of_interest, establishment",1,Unknown,B,Yes,No,No
82,Starbucks Mapletree Business City,"20 Pasir Panjang Road, #02-11 Mapletree Business City II",1.2744998,103.8002495,"cafe, store, food, point_of_interest, establishment",2,117438,C,Yes,Yes,No
83,The Coffee Bean and Tea Leaf - Alexandra Retail Centre (ARC),"460 Alexandra Road, #02-41, Singapore",1.2736494,103.8015297,"cafe, store, food, point_of_interest, establishment",2,Unknown,A,Yes,Yes,No
84,151 Cafe,55 Pasir Panjang Road,1.269957,103.796127,"cafe, store, food, point_of_interest, establishment",1,118810,A,Yes,Yes,No
85,Anya Xpress,55 Pasir Panjang Road,1.269957,103.796127,"cafe, store, food, point_of_interest, establishment",3,118810,A,No,Yes,Yes
86,Bait Cafe by Tanamera Coffee,"1 Harbour Drive, Level 3, Lobby 1 PSA Horizons, Singapore",1.2756209,103.7898787,"cafe, store, food, point_of_interest, establishment",4,117352,A,No,Yes,Yes
87,Tanamera Coffee PSA Horizons,"1 Harbour Drive, Level 3",1.2756209,103.7898787,"cafe, food, point_of_interest, establishment",4,117352,C,Yes,Yes,No
88,Fish Ball Noodle / Fish Ball Soup,"97 Pasir Panjang Road, Singapore",1.2749144,103.7950421,"cafe, store, food, point_of_interest, establishment",1,118515,B,Yes,Yes,Yes
89,Ban Heng Restaurant,"97 Pasir Panjang Road, Singapore",1.2749488,103.795062,"cafe, store, food, point_of_interest, establishment",1,118515,B,No,Yes,No
90,Fong Seng Nasi Lemak,101 Pasir Panjang Road,1.2750781,103.7948415,"cafe, store, food, point_of_interest, establishment",1,118527,A,No,No,Yes
91,83 Xian Live Seafood 鲜味园,83 Pasir Panjang Road,1.2748896,103.7955074,"cafe, store, restaurant, food, point_of_interest, establishment",2,118508,C,Yes,No,No
92,Bua Siam Thai Seafood,"121 Pasir Panjang Road, Singapore",1.2759548,103.7913414,"cafe, food, point_of_interest, establishment",4,118543,A,Yes,No,No
93,Starbucks Labrador Tower,"1 Pasir Panjang Road, #02-05 Labrador Tower",1.2718581,103.8011026,"cafe, food, point_of_interest, establishment",2,118489,A,Yes,Yes,No
94,Italian Coffee Lab Singapore,"100 Pasir Panjang Road, #03-07",1.2752251,103.7958857,"cafe, store, food, point_of_interest, establishment",2,118516,B,No,No,No
95,Eng Lock Koo Coffeeshop,114 Pasir Panjang Road,1.2760565,103.7934151,"cafe, store, food, point_of_interest, establishment",1,118539,A,Yes,Yes,Yes
96,88 Economic beehoon,"114 Pasir Panjang Road, Singapore",1.2760681,103.7934392,"cafe, store, food, point_of_interest, establishment",4,118539,B,No,No,Yes
97,Kitchin Tools - Japanese Knives Singapore,"4 Jalan Mat Jambol, #01-04",1.2766646,103.7915414,"cafe, home_goods_store, store, food, point_of_interest, establishment",2,119555,B,No,Yes,Yes
98,Starbucks Samsung Hub,"30 Pasir Panjang Road, #17-31/32 Samsung Hub",1.2750164,103.7976514,"cafe, store, food, point_of_interest, establishment",2,119982,B,Yes,No,Yes
99,Knots Cafe & Living (Pasir Panjang),"102E Pasir Panjang Road, #01-08 Citilink Warehouse Complex",1.2760918,103.7954127,"cafe, food, point_of_interest, establishment",2,118529,A,No,Yes,No
100,Aboocha Kombucha,"102E Pasir Panjang Road, #07-12 Citilink Warehouse Complex",1.2760918,103.7954127,"cafe, health, store, food, point_of_interest, establishment",3,118529,B,No,Yes,No
101,Paradiso Bistro,"102E Pasir Panjang Road, #01-03",1.276271,103.7949113,"cafe, store, food, point_of_interest, establishment",1,118529,A,No,Yes,No
102,KYŌ KOHEE Labrador Tower,"1 Pasir Panjang Road, #01-08",1.2721447,103.8018967,"cafe, store, food, point_of_interest, establishment",1,118479,C,Yes,Yes,Yes
103,Harmony Food @ mapletree business city,"20 Pasir Panjang Road, Singapore",1.2750689,103.7997106,"cafe, store, food, point_of_interest, establishment",4,117440,A,Yes,Yes,No
104,FoodBarn Alexandra,"438C Alexandra Road, #01-02/03 The Hub at ATP",1.2770751,103.7998223,"cafe, food, point_of_interest, establishment",4,119968,C,Yes,No,No
105,De Tian Coffee House,"46 Telok Blangah Drive, #01-71 Blangah Court, Singapore",1.271573,103.8098778,"cafe, store, food, point_of_interest, establishment",1,100046,A,No,No,No
106,Killiney Kopitiam - Fragrance Empire Building,"456 Alexandra Road, #01-01 Fragrance Empire Building",1.2751604,103.801474,"cafe, food, point_of_interest, establishment",1,Unknown,C,Yes,No,No
107,1970s Best Coffee,"79 Telok Blangah Drive, #01-10",1.2732666,103.8075357,"cafe, store, food, point_of_interest, establishment",2,100079,B,Yes,No,Yes
108,Justwan hot & cold drink,"79 Telok Blangah Drive, #01-25",1.2733181,103.8076065,"cafe, store, food, point_of_interest, establishment",3,100079,A,Yes,No,No
109,虾道 Legacy of prawn,"46 Telok Blangah Drive, Block 46",1.2717576,103.809868,"cafe, store, food, point_of_interest, establishment",4,100046,C,No,Yes,Yes
110,luckin coffee - Mapletree Business City,"40 Pasir Panjang Road, #02-32 Mapletree Business City II",1.2756422,103.7995973,"cafe, store, food, point_of_interest, establishment",1,117383,A,No,No,No
111,Paik's Coffee @ Mapletree Business City,"40 Pasir Panjang Road, #02-39B, Mapletree Business City",1.2756575,103.8005233,"cafe, point_of_interest, food, establishment",4,Unknown,A,No,No,No
112,鼎翔小厨 Ding Xiang Mala Hotpot BBQ,"78A Telok Blangah Street 32, Level 2, Singapore",1.2733936,103.8090564,"cafe, point_of_interest, food, store, establishment",4,101078,A,Yes,No,Yes
113,Four Eyes Guys Kitchen Claypot Frog Porridege.四眼仔田鸡粥,,1.2736577,103.8086661,"cafe, point_of_interest, food, store, establishment",2,102078,B,Yes,No,No
114,Hungry Boy,78 Telok Blangah Street 32,1.2736506,103.8088824,"cafe, point_of_interest, food, store, establishment",3,Unknown,C,Yes,No,No
115,Ding Wang Rojak & Popiah,Telok Blangah Street 32,1.2736678,103.8089572,"cafe, point_of_interest, food, store, establishment",4,Unknown,A,No,No,No
116,Coffee & Tea coffeeshop,"78A Telok Blangah Street 32, Singapore",1.2736587,103.8091137,"cafe, point_of_interest, food, store, establishment",2,101078,A,Yes,Yes,Yes
117,Halia Pantry,"2 Malan Road, Blk A",1.2763043,103.8033363,"cafe, point_of_interest, food, establishment",2,109433,C,Yes,Yes,Yes
118,Old Chang Kee,"450 Telok Blangah Street 31, #01-02 Telok Blangah Community Club, Singapore",1.2748235,103.807893,"cafe, point_of_interest, food, establishment",1,108943,A,No,Yes,Yes
119,Ciclo e Caffè (Mount Faber),"400 Telok Blangah Road, #01-02 ibis budget Singapore Mount Faber",1.269716,103.8139054,"cafe, point_of_interest, food, establishment",3,098838,A,Yes,No,No
120,Coffee shop,"65 Telok Blangah Drive, Block 65, Singapore",1.2741756,103.8104415,"cafe, point_of_interest, food, store, establishment",4,Unknown,A,No,Yes,No
121,Kopifellas Cafe,"Address: 438C, Alexandra Road, #01-5/05A Alexandra Technopark, C",1.2777047,103.8008548,"cafe, store, food, point_of_interest, establishment",1,119967,C,Yes,Yes,Yes
122,Smash Bros - Ayam not kidding,"91 Telok Blangah Street 31, #01-01",1.27637,103.806887,"cafe, store, food, point_of_interest, establishment",2,101093,B,Yes,No,Yes
123,Five Ten Western Grill,91 Telok Blangah Street 31,1.27637,103.806887,"cafe, store, food, point_of_interest, establishment",4,101093,A,No,Yes,Yes
124,Amigo's,"65 Telok Blangah Drive, Block 65, Singapore",1.2741206,103.8108246,"cafe, store, food, point_of_interest, establishment",4,100065,A,Yes,No,No
125,Da Cheng Lok Lok Telok Blangah,,1.2763943,103.8069602,"cafe, store, food, point_of_interest, establishment",2,101093,B,Yes,Yes,Yes
126,Yummi Chiffon,438a Alexandra Road,1.2778089,103.8003647,"cafe, food, point_of_interest, establishment",2,119967,A,Yes,Yes,Yes
127,Maisara Indian Muslim Food,"2 Seah Im Road, Singapore",1.2666148,103.8190924,"cafe, store, food, point_of_interest, establishment",2,099114,B,No,Yes,Yes
128,Coffee King 咖啡王,"2 Seah Im Road, #1-51 2, Singapore",1.2666148,103.8190924,"cafe, food, point_of_interest, establishment",1,099114,A,Yes,No,Yes
129,Rezki Allah Drinks Stall,"2 Seah Im Road, #01-47, Singapore",1.2666148,103.8190924,"cafe, food, point_of_interest, establishment",4,099114,A,Yes,No,Yes
130,Shanaaziq Cafe,"2 Seah Im Road, Singapore",1.2666148,103.8190924,"cafe, food, point_of_interest, establishment",3,099114,B,Yes,No,No
131,Coffee Queen,"2 Seah Im Road, #01-55, Singapore",1.2666148,103.8190924,"cafe, food, point_of_interest, establishment",1,099114,A,No,Yes,Yes
132,Al Syafiiq,"2 Seah Im Road, Singapore",1.2664799,103.8192283,"cafe, store, food, point_of_interest, establishment",2,099114,B,Yes,Yes,No
133,Tan Kim Seng,"Seah Im Food Centre #01-59, 2 Seah Im Road (S)099114, 2 Seah Im Road, Singapore",1.2665699,103.8192653,"cafe, store, food, point_of_interest, establishment",3,099114,C,Yes,No,Yes
134,Fun Toast,"01-83 Maritime Square, #1",1.2648455,103.8203817,"cafe, store, food, point_of_interest, establishment",1,098633,A,Yes,Yes,No
135,Ampang Yong Tau Foo,HarbourFront Walk,1.2650013,103.8209162,"cafe, store, food, point_of_interest, establishment",3,069538,B,Yes,Yes,No
136,Old Habits Cafe,"2 Telok Blangah Way, Mt Faber, #01-04 Next to the Swimming Pool, SAFRA",1.2771481,103.8175278,"cafe, meal_delivery, restaurant, food, point_of_interest, establishment",2,098803,B,No,No,No
137,Little Part 1 Cafe,"54 Blair Road, #01-01",1.2759299,103.8357315,"restaurant, cafe, food, point_of_interest, establishment",2,089954,C,No,Yes,Yes
138,Highlander Coffee Espresso Bar,49 Kampong Bahru Road,1.276779,103.83613,"cafe, school, food, point_of_interest, establishment",1,169362,B,Yes,Yes,Yes
139,Cafe 25 Pte Ltd,"PSA Tanjong Pagar Complex #01-25b, 7 Keppel Road (S)089053",1.2719849,103.8425706,"cafe, food, point_of_interest, establishment",4,089053,C,Yes,No,Yes
140,Carlton City Hotel Singapore,"1 Gopeng Street, 1",1.2759801,103.8436052,"cafe, lodging, bar, restaurant, food, point_of_interest, establishment",3,078862,A,No,No,No
141,Nylon Coffee,"4 Everton Park, #01-40",1.2768524,103.8400279,"cafe, food, point_of_interest, store, establishment",1,080004,A,No,Yes,No
142,Starbucks 100AM,"100 Tras Street, #01 - 05 100 AM",1.2744615,103.8433528,"cafe, food, point_of_interest, store, establishment",2,079027,C,Yes,Yes,Yes
143,Ya Kun Kaya Toast,"100 Tras Street, #02 - 16, Singapore",1.2745925,103.8436594,"cafe, restaurant, food, point_of_interest, store, establishment",1,079027,B,Yes,Yes,Yes
144,So Good Bakery,"100 Tras Street, Unit 01 - 10 & 14A, Singapore",1.2746588,103.8435883,"bakery, cafe, food, point_of_interest, store, establishment",3,079027,B,Yes,No,No
145,The Marmalade Pantry - Cafe Bistro @ Tanjong Pagar,"100 Peck Seah Street, #01-01 Oasia Hotel Downtown",1.2758957,103.8442496,"restaurant, cafe, bakery, food, point_of_interest, store, establishment",4,079333,B,Yes,No,Yes
146,The Coffee Bean & Tea Leaf,"10 Anson Road, #01-32 International Plaza",1.2759853,103.8462969,"cafe, restaurant, food, point_of_interest, store, establishment",2,079909,C,No,No,No
147,Sin Huat Xuan 星發軒,37 Kampong Bahru Road,1.276932,103.8362846,"restaurant, cafe, food, point_of_interest, establishment",3,169356,A,Yes,Yes,No
148,Han’s Cafe (Tanjong Pagar Centre),"7 Wallich Street, #B2 - 25, Guoco Tower, Singapore",1.2768533,103.844954,"restaurant, cafe, bakery, food, point_of_interest, store, establishment",2,078884,C,No,No,Yes
149,JAPAN RAIL CAFE,"5 Wallich Street, #01 - 20 Guoco Tower",1.2766607,103.8457061,"cafe, food, point_of_interest, establishment",2,079903,A,No,Yes,Yes
150,Forest Darts Cafe,"45 Ann Siang Road We have shifted to 79 anson rd #01-02, #2022 from 1 Oct",1.2739302,103.8458637,"cafe, food, point_of_interest, establishment",2,069907,B,Yes,Yes,No
151,HLY Eating House,"7 Keppel Road, #01-01/02",1.271418,103.842329,"cafe, food, point_of_interest, store, establishment",2,089053,B,No,No,Yes
152,Keng Loke Ng,"7 Keppel Road, Singapore",1.271418,103.842329,"cafe, food, point_of_interest, store, establishment",4,089053,A,No,No,No
153,Halal Chicken Rice,"7 Keppel Road, Singapore",1.2719183,103.8425142,"cafe, food, point_of_interest, store, establishment",2,089053,B,No,No,Yes
154,no. 7 Coffee House,"7 Keppel Road, PSA",1.2719183,103.8425142,"cafe, food, point_of_interest, store, establishment",4,089053,A,Yes,Yes,Yes
155,肥仔烧腊 Roasted Delight,7 Keppel Road,1.2719183,103.8425142,"cafe, store, food, point_of_interest, establishment",2,089053,C,No,No,No
156,Waga Waga Cafe,"39 Keppel Road, #05-03 Distripark (Lobby B",1.2722064,103.8377997,"cafe, food, point_of_interest, establishment",1,089065,B,Yes,No,Yes
157,Xiao Yan Economy Rice & Tze Char,9 Keppel Road,1.2723414,103.8424415,"cafe, store, food, point_of_interest, establishment",1,Unknown,B,Yes,No,Yes
158,Zhong You Noodles,"7A Keppel Road, Singapore",1.272294,103.842686,"cafe, store, food, point_of_interest, establishment",1,Unknown,A,Yes,No,Yes
159,South Side Keppel - All Day Brunch Cafe in Tanjong Pagar,"1557 Keppel Road, #01-04",1.2731665,103.8403017,"cafe, liquor_store, store, bar, restaurant, food, point_of_interest, establishment",2,Unknown,B,No,No,Yes
160,Starbucks 78 Shenton Way,"78 Shenton Way, #01-02",1.273206,103.8449789,"cafe, store, food, point_of_interest, establishment",2,079903,C,Yes,Yes,No
